*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
6665;26.711999;11.977999;-0.033705;9.346028;0.330580;5.440430;0.623736;0.098267;2.751469;1.460395;0.684746
6697;24.909999;12.136999;-0.000000;9.511457;0.000000;5.441975;0.000000;0.000000;2.849736;1.460395;0.684746
6730;23.001999;12.189999;-0.018518;9.456636;0.181651;5.441509;0.342738;0.032756;2.816981;1.460395;0.684746
6762;20.987999;12.189999;-0.028569;9.456636;0.280229;5.440865;0.528733;0.032756;2.816981;1.460395;0.684746
6795;18.867999;12.242999;-0.133136;9.401494;1.302212;5.417842;2.457005;0.065511;2.784225;1.460395;0.684746
6843;16.853999;12.189999;0.248710;9.456636;-2.414769;5.357599;-4.556169;0.032756;2.816981;1.460395;0.684746
6875;14.733999;12.136999;0.000000;9.511457;-0.000000;5.441975;-0.000000;0.000000;2.849736;1.460395;0.684746
6905;12.878999;12.030999;0.048183;9.401494;-0.472497;5.438816;-0.891503;0.065511;2.784225;1.460395;0.684746
6938;11.235999;11.818999;0.105166;9.177617;-1.029779;5.426921;-1.942979;0.196534;2.653203;1.460395;0.684746
6970;9.433999;11.500999;0.161808;8.831166;-1.580421;5.406316;-2.981926;0.393067;2.456669;1.460395;0.684746
7002;8.162000;11.182999;0.208543;8.470557;-2.031012;5.382698;-3.832099;0.589601;2.260136;1.460395;0.684746
